Trait,Indicator,H2r,pvalue
VOXEL_44_135_116,111.443,0.0721209,0.293541
VOXEL_44_136_82,114.792,0.152449,0.121376
VOXEL_44_136_110,121.684,0.250882,0.0237952
VOXEL_44_136_111,120.455,0.217656,0.0369926
VOXEL_44_136_112,119.088,0.195702,0.0467906
VOXEL_44_136_114,139.204,0.379479,0.00019996
VOXEL_44_136_115,113.177,0.0972159,0.205959
VOXEL_44_137_81,112.452,0.0921507,0.207558
VOXEL_44_137_82,112.085,0.100301,0.263147
VOXEL_44_137_109,128.8,0.374053,0.004999
VOXEL_44_137_110,125.9,0.281949,0.0079984
VOXEL_44_138_80,107.29,0,1
VOXEL_44_138_81,115.307,0.148841,0.109978
VOXEL_44_138_82,111.223,0.0812942,0.310538
VOXEL_44_138_84,111.001,0.0608931,0.312737
VOXEL_44_138_104,114.894,0.126979,0.174965
VOXEL_44_138_105,115.774,0.111198,0.136173
VOXEL_44_138_106,117.225,0.138366,0.0889822
VOXEL_44_138_108,130.244,0.296371,0.00419916
VOXEL_44_138_109,133.895,0.320822,0.00159968
VOXEL_44_138_114,123.89,0.213079,0.00559888
VOXEL_44_139_79,115.58,0.157012,0.111778
VOXEL_44_139_104,114.306,0.145683,0.204559
VOXEL_44_139_113,118.043,0.132955,0.0933813
VOXEL_44_139_114,119.706,0.165234,0.0683863
VOXEL_44_140_79,112.492,0.0935969,0.220356
VOXEL_44_140_84,107.735,0.00593252,0.474105
VOXEL_44_140_112,113.846,0.109359,0.214157
VOXEL_44_140_113,121.792,0.227879,0.0437912
VOXEL_44_140_114,114.55,0.130545,0.195961
VOXEL_44_141_84,123.003,0.155472,0.0157968
VOXEL_44_141_85,125.756,0.204998,0.00719856
VOXEL_44_141_112,109.446,0.0235565,0.40132
VOXEL_44_141_113,112.048,0.0511965,0.303539
VOXEL_44_141_114,116.762,0.18281,0.10178
VOXEL_44_142_78,110.134,0.0461846,0.356729
VOXEL_44_142_85,119.193,0.138052,0.059788
VOXEL_44_142_86,116.058,0.0976908,0.120576
VOXEL_44_142_97,115.579,0.132113,0.128574
VOXEL_44_142_98,120.744,0.189104,0.0379924
VOXEL_44_142_99,120.506,0.211792,0.0471906
VOXEL_44_142_100,125.43,0.328891,0.0103979
VOXEL_44_142_112,114.946,0.114932,0.154569
VOXEL_44_142_113,116.687,0.182868,0.118576
VOXEL_44_142_114,118.214,0.208408,0.0833833
VOXEL_44_142_116,114.733,0.134075,0.121576
VOXEL_44_142_120,115.403,0.175125,0.108778
VOXEL_44_142_122,113.207,0.112094,0.182763
VOXEL_44_143_86,112.076,0.0629114,0.257149
VOXEL_44_143_87,117.406,0.125129,0.0821836
VOXEL_44_143_95,110.651,0.0704405,0.305939
VOXEL_44_143_96,108.27,0.0150411,0.440912
VOXEL_44_143_97,108.101,0.0107137,0.44851
VOXEL_44_143_98,110.093,0.0408983,0.345131
VOXEL_44_143_113,113.448,0.0961959,0.216757
VOXEL_44_143_116,111.046,0.0675557,0.295341
VOXEL_44_143_117,109.546,0.0375028,0.377924
VOXEL_44_144_87,109.074,0.0227395,0.392322
VOXEL_44_144_94,113.357,0.125267,0.154369
VOXEL_44_144_95,118.907,0.265033,0.0345931
VOXEL_44_144_96,114.148,0.142061,0.144371
VOXEL_44_144_112,113.154,0.108914,0.209558
VOXEL_44_144_117,116.827,0.180318,0.116177
VOXEL_44_145_87,109.407,0.034481,0.369726
VOXEL_44_145_88,111.595,0.0975523,0.247351
VOXEL_44_145_93,109.734,0.0356628,0.369526
VOXEL_44_145_94,111.271,0.0629505,0.260348
VOXEL_44_145_95,116.194,0.14934,0.0859828
VOXEL_44_145_107,109.459,0.0345614,0.394721
VOXEL_44_145_113,116.234,0.160145,0.0591882
VOXEL_44_145_114,110.443,0.0479809,0.291542
VOXEL_44_145_115,109.548,0.0300262,0.366327
VOXEL_44_145_117,114.455,0.123375,0.168966
VOXEL_44_145_118,116.532,0.157189,0.118376
VOXEL_44_146_92,106.34,0,1
VOXEL_44_146_94,109.194,0.0263264,0.388522
VOXEL_44_146_100,118.152,0.208796,0.0413917
VOXEL_44_146_107,109.918,0.0419389,0.355129
VOXEL_44_146_114,116.272,0.169423,0.075185
VOXEL_44_146_115,115.522,0.146927,0.107978
VOXEL_44_146_118,111.597,0.0715382,0.287942
VOXEL_44_146_119,110.252,0.0489076,0.346931
VOXEL_44_147_108,122.181,0.201286,0.014797
VOXEL_44_147_114,109.845,0.0445012,0.375525
VOXEL_44_147_115,123.344,0.308094,0.00739852
VOXEL_44_147_118,108.752,0.0279974,0.395721
VOXEL_44_148_111,113.564,0.118779,0.189362
VOXEL_44_148_112,113.149,0.114385,0.172965
VOXEL_44_148_115,116.069,0.123854,0.129174
VOXEL_44_149_111,111.244,0.0473358,0.284143
VOXEL_44_149_112,117.459,0.18267,0.0803839
VOXEL_44_149_115,116.945,0.144653,0.0953809
VOXEL_45_62_100,115.82,0.164687,0.133973
VOXEL_45_62_101,115.816,0.174304,0.140372
VOXEL_45_63_99,124.712,0.284151,0.0145971
VOXEL_45_66_99,124.952,0.234445,0.0105979
VOXEL_45_66_100,119.807,0.167856,0.030194
VOXEL_45_66_101,114.611,0.116862,0.14857
VOXEL_45_67_98,109.005,0.0237951,0.406519
VOXEL_45_67_99,119.006,0.17234,0.0675865
VOXEL_45_67_100,117.809,0.131521,0.089982
VOXEL_45_68_99,113.257,0.1189,0.239352
VOXEL_45_69_91,108.396,0.0190849,0.44911
VOXEL_45_69_92,120.145,0.272692,0.0527894
VOXEL_45_69_93,123.221,0.305645,0.0139972
VOXEL_45_70_93,116.372,0.178143,0.106979
VOXEL_45_71_90,109.041,0.0325556,0.395321
VOXEL_45_72_89,118.032,0.208985,0.0637872
VOXEL_45_72_90,118.588,0.16948,0.0527894
VOXEL_45_73_89,117.841,0.155364,0.0627874
VOXEL_45_73_90,110.668,0.0479775,0.306939
VOXEL_45_74_87,117.939,0.188724,0.0913817
VOXEL_45_74_88,112.525,0.0928738,0.235153
VOXEL_45_74_89,117.533,0.164197,0.0623875
VOXEL_45_75_87,111.354,0.074549,0.287143
VOXEL_45_75_88,114.609,0.127089,0.15097
VOXEL_45_75_130,108.004,0.00345995,0.461908
VOXEL_45_76_84,113.351,0.115048,0.213957
VOXEL_45_76_85,110.489,0.0593326,0.329534
VOXEL_45_76_90,110.075,0.0490893,0.332933
VOXEL_45_76_91,110.389,0.0556143,0.29794
VOXEL_45_77_83,108.688,0.0145541,0.418316
VOXEL_45_77_84,120.587,0.22584,0.0477904
VOXEL_45_77_85,112.098,0.0931334,0.271146
VOXEL_45_77_91,117.528,0.189847,0.0587882
VOXEL_45_77_92,117.329,0.20372,0.0919816
VOXEL_45_77_93,115.891,0.190954,0.130774
VOXEL_45_77_95,112.599,0.106872,0.235353
VOXEL_45_77_96,113.997,0.132261,0.176565
VOXEL_45_78_93,124.391,0.370813,0.0167966
VOXEL_45_78_94,122.223,0.329891,0.0385923
VOXEL_45_78_95,112.332,0.091017,0.291742
VOXEL_45_78_96,113.918,0.120468,0.154769
VOXEL_45_78_97,112.45,0.08893,0.218556
VOXEL_45_78_98,109.37,0.0394918,0.365327
VOXEL_45_78_99,113.953,0.130856,0.153169
VOXEL_45_78_102,108.409,0.017857,0.432114
VOXEL_45_78_103,111.535,0.07626,0.284343
VOXEL_45_78_104,111.884,0.0768826,0.264547
VOXEL_45_79_99,110.334,0.0458951,0.332933
VOXEL_45_79_100,111.228,0.0541027,0.303139
VOXEL_45_79_102,111.182,0.0652769,0.292941
VOXEL_45_79_103,109.029,0.0281189,0.406319
VOXEL_45_80_99,114.781,0.139141,0.144571
VOXEL_45_80_100,117.286,0.168134,0.0725855
VOXEL_45_80_101,123.331,0.300731,0.00779844
VOXEL_45_80_127,117.255,0.221595,0.111778
VOXEL_45_80_128,110.602,0.0654406,0.340732
VOXEL_45_81_99,114.175,0.127571,0.125975
VOXEL_45_81_100,114.035,0.121032,0.138572
VOXEL_45_81_101,116.957,0.178267,0.0803839
VOXEL_45_81_127,114.046,0.149398,0.216357
VOXEL_45_81_128,108.156,0.0135335,0.442711
VOXEL_45_82_99,111.15,0.0591862,0.255549
VOXEL_45_82_100,113.221,0.105181,0.155769
VOXEL_45_82_101,116.507,0.165397,0.0759848
VOXEL_45_82_127,114.406,0.14336,0.20136
VOXEL_45_82_128,113.013,0.101713,0.239952
VOXEL_45_83_99,109.786,0.0422856,0.336733
VOXEL_45_83_100,110.769,0.0632698,0.288342
VOXEL_45_83_101,108.826,0.0274758,0.394121
VOXEL_45_83_127,117.784,0.21029,0.0965807
VOXEL_45_83_128,119.804,0.229367,0.0719856
VOXEL_45_83_129,117.296,0.1884,0.110578
VOXEL_45_84_100,113.109,0.119594,0.171766
VOXEL_45_84_101,109.408,0.0407195,0.35193
VOXEL_45_84_127,118.944,0.217111,0.0661868
VOXEL_45_84_128,121.306,0.234462,0.0373925
VOXEL_45_84_129,122.331,0.240605,0.0363927
VOXEL_45_85_98,115.758,0.168274,0.119576
VOXEL_45_85_99,110.863,0.0741412,0.308138
VOXEL_45_85_128,116.591,0.140949,0.0957808
VOXEL_45_85_129,115.751,0.119352,0.14937
VOXEL_45_86_97,114.903,0.136805,0.152969
VOXEL_45_86_98,116.32,0.175008,0.105779
